"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","081310","Fruit, edible; apricots, dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15344","false","-1","N/A",,"false","15344","false",,"false",,"34147","34147","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","081320","Fruit, edible; prunes, dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","119","false","-1","N/A",,"false","119","false",,"false",,"389","389","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","220429","Wine; still, in containers holding more than 2 litres","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","614","false","-1","N/A",,"false","614","true",,"false",,"1912","1912","4","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","391990","Plastics; plates, sheets, film, foil, tape, strip, other flat shapes thereof, self-adhesive, other than in rolls of a width not exceeding 20cm","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","11","false","-1","N/A",,"false","11","false",,"false",,"180","180","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","550810","Sewing thread; of synthetic staple fibres, whether or not put up for retail sale","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","289","false","-1","N/A",,"false","289","false",,"false",,"3792","3792","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","621050","Garments; women's or girls', n.e.s. in item no. 6210.3, of the fabrics of heading no. 5602, 5603, 5903, 5906 or 5907 (not knitted or crocheted)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","25313","true","-1","N/A",,"false","25313","true",,"false",,"902355","902355","6","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","680300","Slate, worked; and articles of slate or of agglomerated slate","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","69","false","-1","N/A",,"false","69","false",,"false",,"250","250","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","071310","Vegetables, leguminous; peas (pisum sativum), shelled, whether or not skinned or split, dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4190323","false","-1","N/A",,"false","4190323","false",,"false",,"1510689","1510689","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","071333","Vegetables, leguminous; kidney beans, including white pea beans (phaseolus vulgaris), dried, shelled, whether or not skinned or split","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2001531","false","-1","N/A",,"false","2001531","false",,"false",,"1225311","1225311","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","071490","Vegetable roots and tubers; arrowroot, salep, Jerusalem artichokes and similar roots and tubers (not manioc or sweet potatoes), high starch or inulin content, fresh chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43747","false","-1","N/A",,"false","43747","false",,"false",,"46120","46120","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080121","Nuts, edible; brazil nuts, in shell, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","136","false","-1","N/A",,"false","136","false",,"false",,"200","200","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080300","Fruit, edible; bananas, (including plantains), fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64961481","false","-1","N/A",,"false","64961481","false",,"false",,"18904784","18904784","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080450","Fruit, edible; guavas, mangoes and mangosteens, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","62601","false","-1","N/A",,"false","62601","false",,"false",,"15372","15372","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080510","Fruit, edible; oranges, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3816224","false","-1","N/A",,"false","3816224","false",,"false",,"1690589","1690589","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080520","Fruit, edible; mandarins (including tangerines and satsumas), clementines, wilkings and similar citrus hybrids, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86502","false","-1","N/A",,"false","86502","false",,"false",,"31691","31691","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080530","Fruit, edible; lemons (citrus limon, citrus limonum), limes (citrus aurantifolia)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","165596","false","-1","N/A",,"false","165596","false",,"false",,"152224","152224","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080540","Fruit, edible; grapefruit, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","748774","false","-1","N/A",,"false","748774","false",,"false",,"390619","390619","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080590","Fruit, edible; citrus fruit n.e.s. in heading no. 0805, fresh or dried","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","43638","false","-1","N/A",,"false","43638","false",,"false",,"36917","36917","0","false","false",
"C","A","20000101","2000","52","2000","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H1","HS","true","080711","Fruit, edible; watermelons, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","794","false","-1","N/A",,"false","794","false",,"false",,"131","131","0","false","false",
