"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","124","CAN","Canada","0","W00","World","H1","HS","true","940169","Seats; with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","12.708","true","8","kg","100","false","100","false","0","false","0","330","330","2","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","222","SLV","El Salvador","0","W00","World","H1","HS","true","210390","Sauces and preparations therefor; mixed condiments and mixed seasonings","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1962","false","8","kg","1962","false","1962","false","0","false","0","1877.5","1877.5","0","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","222","SLV","El Salvador","0","W00","World","H1","HS","true","940169","Seats; with wooden frames, not upholstered, (excluding medical, surgical, dental, veterinary or barber furniture)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","29.287","true","8","kg","203","false","203","false","0","false","0","760.5","760.5","2","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","276","DEU","Germany","0","W00","World","H1","HS","true","440799","Wood; sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or finger-jointed, thicker than 6mm, n.e.s. in heading no. 4407","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","12","m�","247.434","true","8","kg","32408","false","32408","false","0","false","0","122333.5","122333.5","2","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","340","HND","Honduras","0","W00","World","H1","HS","true","220421","Wine; still, in containers holding 2 litres or less","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","7","l","30","true","8","kg","30","false","30","false","0","false","0","111","111","2","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","484","MEX","Mexico","0","W00","World","H1","HS","true","051199","Animal products; n.e.s. in chapter 5","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","400","false","8","kg","400","false","400","false","0","false","0","250","250","0","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","484","MEX","Mexico","0","W00","World","H1","HS","true","392119","Plastics; plates, sheets, film, foil and strip, of plastics n.e.s. in heading no. 3921, cellular","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3356","false","8","kg","3356","false","3356","false","0","false","0","3873.5","3873.5","0","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","484","MEX","Mexico","0","W00","World","H1","HS","true","440399","Wood; in the rough, whether or not stripped of bark or sapwood, or roughly squared, untreated, n.e.s. in heading no. 4403","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","12","m�","11.197","true","8","kg","5654","false","5654","false","0","false","0","3629.5","3629.5","2","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","484","MEX","Mexico","0","W00","World","H1","HS","true","720449","Ferrous waste and scrap; n.e.s. in heading no. 7204","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","49280","false","8","kg","49280","false","49280","false","0","false","0","1221","1221","0","false","true",
"C","A","20030101","2003","52","2003","84","BLZ","Belize","X","Export","484","MEX","Mexico","0","W00","World","H1","HS","true","740400","Copper; waste and scrap","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1307","false","8","kg","1307","false","1307","false","0","false","0","209.5","209.5","0","false","true",
