,Coefficient,Standard Error,Observations
log_dist,-0.4223,0.288,1472
contig,0.7268,0.295,1472
comlang_off,3.1927,2.399,1472
col_dep_ever,11.0263,2.395,1472
fta_wto,0.1381,0.191,1472
iso3num_d_year_fe_4.0201,2.2425,2.819,1472
iso3num_d_year_fe_4.02015,7.4178,0.44899999999999995,1472
iso3num_d_year_fe_8.02,0.1665,2.693,1472
iso3num_d_year_fe_8.02005,-1.5984,2.794,1472
iso3num_d_year_fe_8.0201,-2.4103,2.655,1472
iso3num_d_year_fe_8.02015,6.6637,0.621,1472
iso3num_d_year_fe_12.01995,-0.2653,2.595,1472
iso3num_d_year_fe_12.0201,-0.0111,2.686,1472
iso3num_d_year_fe_12.02015,11.5643,0.56,1472
iso3num_d_year_fe_24.02,-4.5877,2.594,1472
iso3num_d_year_fe_24.02005,-2.5702,2.831,1472
iso3num_d_year_fe_24.0201,-0.9703,2.688,1472
iso3num_d_year_fe_31.02005,-3.057,2.808,1472
iso3num_d_year_fe_31.0201,-0.5568,2.857,1472
iso3num_d_year_fe_31.02015,7.2351,0.717,1472
iso3num_d_year_fe_32.01995,-0.2431,0.848,1472
iso3num_d_year_fe_32.02,0.4636,0.871,1472
iso3num_d_year_fe_32.02005,-0.7091,0.649,1472
iso3num_d_year_fe_32.0201,0.525,0.527,1472
iso3num_d_year_fe_32.02015,11.3683,2.631,1472
iso3num_d_year_fe_36.02005,0.7995,2.777,1472
iso3num_d_year_fe_36.0201,2.5919,2.776,1472
iso3num_d_year_fe_36.02015,14.0949,0.314,1472
iso3num_d_year_fe_40.01995,3.252,2.726,1472
iso3num_d_year_fe_40.02,-0.0135,2.735,1472
iso3num_d_year_fe_40.02005,0.9609,2.658,1472
iso3num_d_year_fe_40.0201,-0.645,2.643,1472
iso3num_d_year_fe_40.02015,10.2426,0.232,1472
iso3num_d_year_fe_44.01995,1.0216,2.393,1472
iso3num_d_year_fe_44.02005,0.014,2.157,1472
iso3num_d_year_fe_44.0201,1.316,2.277,1472
iso3num_d_year_fe_44.02015,11.5129,0.9480000000000001,1472
iso3num_d_year_fe_48.01995,-1.4915,2.761,1472
iso3num_d_year_fe_48.02,-0.7387,2.851,1472
iso3num_d_year_fe_48.02005,-6.4566,2.773,1472
iso3num_d_year_fe_48.02015,12.0918,0.034,1472
iso3num_d_year_fe_50.02,-1.5365,2.842,1472
iso3num_d_year_fe_50.02005,2.3482,2.914,1472
iso3num_d_year_fe_50.0201,0.9446,2.839,1472
iso3num_d_year_fe_50.02015,9.1255,0.739,1472
iso3num_d_year_fe_51.0201,2.3241,2.779,1472
iso3num_d_year_fe_51.02015,5.6344,0.218,1472
iso3num_d_year_fe_52.01995,1.0646,2.218,1472
iso3num_d_year_fe_52.02,-0.2276,2.265,1472
iso3num_d_year_fe_52.02005,1.2986,2.151,1472
iso3num_d_year_fe_52.0201,2.5179,2.278,1472
iso3num_d_year_fe_52.02015,12.4032,1.12,1472
iso3num_d_year_fe_56.01995,2.5806,2.645,1472
iso3num_d_year_fe_56.02005,0.7078,2.631,1472
iso3num_d_year_fe_56.0201,2.693,2.657,1472
iso3num_d_year_fe_56.02015,13.9801,0.297,1472
iso3num_d_year_fe_60.01995,-0.4095,2.45,1472
iso3num_d_year_fe_60.02,-2.0827,2.4769999999999994,1472
iso3num_d_year_fe_60.02005,-4.0199,2.322,1472
iso3num_d_year_fe_60.0201,0.1096,2.369,1472
iso3num_d_year_fe_60.02015,7.9187,0.892,1472
iso3num_d_year_fe_68.01995,-1.2622,0.758,1472
iso3num_d_year_fe_68.02,-0.8514,0.759,1472
iso3num_d_year_fe_68.02005,-1.3812,0.589,1472
iso3num_d_year_fe_68.0201,-4.7171,0.5,1472
iso3num_d_year_fe_68.02015,9.3534,2.77,1472
iso3num_d_year_fe_70.02005,0.8989,2.681,1472
iso3num_d_year_fe_70.02015,6.9232,0.555,1472
iso3num_d_year_fe_76.01995,4.7671,2.465,1472
iso3num_d_year_fe_76.02,3.8868,2.5650000000000004,1472
iso3num_d_year_fe_76.02005,2.6395,2.548,1472
iso3num_d_year_fe_76.0201,1.6352,2.583,1472
iso3num_d_year_fe_76.02015,13.7412,0.3,1472
iso3num_d_year_fe_84.01995,-4.1054,0.879,1472
iso3num_d_year_fe_84.02,-1.2947,0.747,1472
iso3num_d_year_fe_84.02005,-2.597,0.735,1472
iso3num_d_year_fe_84.0201,-2.2252,0.789,1472
iso3num_d_year_fe_84.02015,9.2669,2.907,1472
iso3num_d_year_fe_96.0201,-3.1106,2.93,1472
iso3num_d_year_fe_96.02015,7.1101,0.663,1472
iso3num_d_year_fe_100.02,-1.5157,2.764,1472
iso3num_d_year_fe_100.02005,1.5059,2.662,1472
iso3num_d_year_fe_100.02015,9.2848,0.533,1472
iso3num_d_year_fe_104.01995,-1.3897,2.877,1472
iso3num_d_year_fe_108.01995,-0.5909,2.801,1472
iso3num_d_year_fe_108.02,-0.0783,2.64,1472
iso3num_d_year_fe_112.02,-0.5645,2.776,1472
iso3num_d_year_fe_112.02005,-2.4661,2.7009999999999996,1472
iso3num_d_year_fe_112.0201,-6.2691,2.695,1472
iso3num_d_year_fe_112.02015,12.3807,0.829,1472
iso3num_d_year_fe_116.01995,-0.4788,2.905,1472
iso3num_d_year_fe_116.0201,-0.4208,2.953,1472
iso3num_d_year_fe_120.01995,-2.415,2.676,1472
iso3num_d_year_fe_120.02,-2.4984,2.792,1472
iso3num_d_year_fe_120.02005,2.9401,2.736,1472
iso3num_d_year_fe_120.0201,1.209,2.719,1472
iso3num_d_year_fe_120.02015,14.1229,0.608,1472
iso3num_d_year_fe_124.01995,3.1141,2.4539999999999997,1472
iso3num_d_year_fe_124.02,3.2257,2.362,1472
iso3num_d_year_fe_124.0201,4.1481,2.537,1472
iso3num_d_year_fe_124.02015,13.4127,0.321,1472
iso3num_d_year_fe_132.0201,-3.4986,2.626,1472
iso3num_d_year_fe_140.02015,6.9773,0.734,1472
iso3num_d_year_fe_144.02,-3.0618,2.807,1472
iso3num_d_year_fe_144.02005,-3.2881,2.784,1472
