year,country_id_o,country_id_d,iso3_o,iso3_d,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,distw_harmonic,distw_arithmetic,distw_harmonic_jh,distw_arithmetic_jh,dist,main_city_source_o,main_city_source_d,distcap,contig,diplo_disagreement,scaled_sci_2021,comlang_off,comlang_ethno,comcol,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,comrelig,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,fta_wto,fta_wto_raw,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d
2000,USA,SHN,USA,SHN,840.0,654.0,1,1,-5.0,0.0,10614.0,10796.0,,,9419.0,UN_WUP_Largest,UN_WUP_Capitals,9569.0,0.0,,,1.0,1.0,0.0,0.0,3.0,,2.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,282162.415,7.23,10284800409.6,,36.45,,1.0,2.0,1.0,,10284779000.0,,36.45,,281982.781,,12948142080.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,383.13,,375.129,375.129,,
2010,CAN,EGY,CAN,EGY,124.0,818.0,1,1,-5.0,2.0,9356.0,9413.0,9410.0,9489.0,9228.0,UN_WUP_Largest,UN_WUP_Largest,8877.0,0.0,3.014,1901.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,,,,1.0,1.0,,,34005.276,78075.706,1614072119.296,218887815.168,47.465,2.804,1.0,1.0,1.0,1.0,1361137270.766,812316743.803,40.027,9.658,34168.668,84107.602,1358793472.0,715813248.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.4,10.9,2.0,7.0,5.5,8.5,7.5,15.5,610402.948,447869.239,664006.438,284516.625,612664.375,446215.812
2006,USA,PRT,USA,PRT,840.0,620.0,1,1,-5.0,0.0,6721.0,6969.0,6689.0,6838.0,5435.0,UN_WUP_Largest,UN_WUP_Largest,5751.0,0.0,1.82,3430.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.287,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,298379.913,10522.288,13855900041.216,208556261.376,46.437,19.82,1.0,1.0,1.0,1.0,13855888000.0,259580288.609,46.437,24.67,297827.375,10599.951,15268674560.0,276263200.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.8,7.9,6.0,8.0,6.0,7.5,12.0,15.5,1470639.542,978061.625,1236505.125,1047959.313,1470700.0,978176.562
2003,MEX,SXM,MEX,SXM,484.0,534.0,1,0,-6.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,0.0,,,,,,,,,,,108056.313,,713284255.744,,6.601,,1.0,,1.0,,1131771430.256,,10.713,,105640.453,,1328494592.0,,1.0,,1.0,,0.0,,,,,,29.5,,9.0,,31.5,,40.5,,,,,,,
2006,CAN,SWE,CAN,SWE,124.0,752.0,1,1,-5.0,1.0,6336.0,6384.0,6111.0,6176.0,6344.0,UN_WUP_Largest,UN_WUP_Largest,6012.0,0.0,0.588,7460.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,4.0,0.0,0.0,0.0,0.209,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,32570.503,9080.505,1310795235.328,420029333.504,40.245,46.256,1.0,1.0,1.0,1.0,1238000856.193,339972627.379,38.01,37.44,32645.48,9096.264,1340594048.0,357216640.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,0.8,0.7,3.0,3.0,3.5,16.0,6.5,19.0,402972.368,456206.589,457206.523,340757.625,402947.656,461285.188
2003,CAN,PHL,CAN,PHL,124.0,608.0,1,1,-5.0,8.0,12598.0,12705.0,12134.0,12244.0,13225.0,UN_WUP_Largest,UN_WUP_Largest,13149.0,0.0,1.686,14695.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.403,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,31676.001,82604.683,887751770.112,83908206.592,28.026,1.016,1.0,1.0,1.0,1.0,1019620715.104,309627074.702,32.189,3.729,31627.807,83031.953,1200164864.0,332202016.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,0.6,28.6,3.0,17.0,3.5,49.0,6.5,66.0,269796.541,254132.699,291070.07,170529.625,263464.312,229084.094
2001,USA,ETH.1,USA,ETH,840.0,230.0,1,0,-5.0,,,,,,,,,,,,,,,,,3.0,,2.0,,,,,,0.0,,,,,,,,,,,284968.964,,10621800153.088,,37.274,,1.0,,1.0,,10621824000.0,,37.274,,284852.375,,13134155776.0,,1.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,
2009,MEX,ESP,MEX,ESP,484.0,724.0,1,1,-6.0,1.0,9172.0,9186.0,9035.0,9052.0,9078.0,UN_WUP_Largest,UN_WUP_Largest,9078.0,0.0,1.017,3885.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.918,0.0,1.0,1.0,0.0,1810.0,0.0,,0.0,0.0,,,116422.752,46362.946,895313117.184,1498984480.768,7.69,32.332,1.0,1.0,1.0,1.0,1627727051.35,1503253696.369,14.092,32.424,115505.227,46476.07,1602847872.0,1557012736.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,19.5,15.0,8.0,10.0,9.5,61.0,17.5,71.0,2507814.72,2864952.101,2624328.5,662406.625,2507821.0,2798069.5
2005,MEX,URY,MEX,URY,484.0,858.0,1,1,-6.0,-3.0,7787.0,7827.0,7701.0,7753.0,7530.0,UN_WUP_Largest,UN_WUP_Largest,7530.0,0.0,0.013,5060.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.564,0.0,0.0,0.0,0.0,,,,1.0,0.0,1810.0,0.0,110731.827,3325.155,866346467.328,17362872.32,7.824,5.222,1.0,1.0,1.0,1.0,1324755569.141,38422509.824,12.213,11.554,108472.227,3325.612,1482598912.0,34200536.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,5.0,26.2,43.9,9.0,11.0,31.5,45.0,40.5,56.0,65570.001,50870.782,69190.528,68219.438,65565.0,50870.781
2009,MEX,HUN,MEX,HUN,484.0,348.0,1,1,-6.0,1.0,10261.0,10266.0,10279.0,10285.0,10379.0,UN_WUP_Largest,UN_WUP_Largest,10379.0,0.0,1.133,440.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.513,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,116422.752,10022.65,895313117.184,129359839.232,7.69,12.907,1.0,1.0,1.0,1.0,1627727051.35,206199745.921,14.092,20.573,115505.227,9958.942,1602847872.0,215040848.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,19.5,8.0,8.0,5.0,9.5,5.0,17.5,10.0,114875.7,174839.0,156321.771,147665.453,114869.0,187972.75
