year,iso3_tp_o,iso3_tp_d,trade_comb,trade_i,trade_e,pref,mfn,tariff,industry
2001,MEX,PNG,0.0057440395,0.0061132223,0.0,,0.1223262,0.1223262,Other (36)
2009,MEX,UGA,0.0,0.0,0.0,,0.16881466,0.16881466,Wood-Paper (20t22)
2006,MEX,MDG,0.00078920875,0.00082357146,0.0,,0.17054515,0.17054515,Textiles (17t19)
2007,MEX,GAB,0.0056188894,0.0,0.0056188894,,0.18959275,0.18959275,Wood-Paper (20t22)
2007,MEX,SVK,18.258392,18.880486,4.1592941,0.0011851047,0.022484075,0.0012332457,Machines (29t33)
2006,CAN,AGO,0.36722046,0.0,0.36722046,,0.052707437,0.052707437,Chemicals (23t25)
2004,CAN,MDA,0.089204468,0.094937846,0.013802667,,0.073776595,0.073776595,Other (36)
2007,MEX,GBR,11.467413,12.565164,6.6926088,,,,Minerals (26)
2010,MEX,GRC,9.0934086,9.6409702,1.0739611,0.0048749512,0.044093955,0.0052199219,Chemicals (23t25)
2006,MEX,MDA,0.010984175,0.012035667,0.0,,0.09158171,0.09158171,Minerals (26)
2008,CAN,IRN,21.31455,0.0,21.31455,,0.16177475,0.16177475,Metals (27t28)
2009,USA,MAR,73.341988,77.345169,61.92128,0.0,0.15872218,0.15872218,Metals (27t28)
2002,MEX,TKM,0.0,0.0,,,0.0079787234,0.0079787234,Other (36)
2008,MEX,ITA,35.561413,38.388245,25.401594,0.065360561,0.10366342,0.077167451,Food (15t16)
2005,CAN,BWA,0.00014602167,0.00016,3.3333336e-06,,,,Minerals (26)
2010,MEX,MMR,0.0,0.0,0.0,,0.040091176,0.040091176,Vehicles (34t35)
2008,MEX,CHL,14.756991,15.705457,13.459828,0.0,0.060212765,0.060212765,Other (36)
2000,CAN,HUN,0.84975123,0.88674998,0.84013158,,0.10148816,0.10148816,Textiles (17t19)
2007,MEX,ECU,121.61367,128.93666,120.76733,0.085671388,0.077427931,0.077427931,Chemicals (23t25)
2007,MEX,AZE,0.041231647,0.043026898,0.0,,0.12850624,0.12850624,Textiles (17t19)
2000,USA,ESP,226.46207,238.82292,190.14977,,0.027926991,0.027926991,Metals (27t28)
2003,CAN,VNM,4.8433151,5.1076751,4.5217333,0.042510152,0.087834254,0.087834254,Metals (27t28)
2005,USA,HRV,5.0272036,5.5084472,4.5496736,,0.065898784,0.065898784,Minerals (26)
2009,CAN,USA,1892.4369,2073.5957,2204.0789,0.0001884058,0.031919818,0.0,Minerals (26)
2003,MEX,SVK,0.41461033,0.44125828,0.27677244,0.0011173759,0.047108106,0.047108106,Other (36)
2008,CAN,GAB,0.0033336289,0.00365275,0.077326834,,0.22271341,0.22271341,Minerals (26)
2000,USA,NOR,460.63309,480.68936,148.21762,,0.079584472,0.079584472,Textiles (17t19)
2002,CAN,EST,0.073539704,0.080579497,0.0091350004,0.0,0.0,0.0,Minerals (26)
2002,USA,SWE,529.08453,555.79803,470.33954,,0.03720741,0.03720741,Vehicles (34t35)
2001,MEX,CIV,0.0009091734,0.00098450796,0.043818999,,0.11288889,0.11288889,Wood-Paper (20t22)
2009,CAN,SYR,0.16118662,0.17661667,0.12342434,,0.20407988,0.20407988,Minerals (26)
2004,CAN,NGA,0.18903743,0.0,0.18903743,,0.30685976,0.30685976,Minerals (26)
2007,CAN,UZB,0.0,0.0,,,0.1594532,0.1594532,Food (15t16)
2005,MEX,CMR,0.00087744877,0.00093384448,0.0,,0.28510639,0.28510639,Other (36)
2003,USA,LBY,3.8452561,4.0551395,0.0,,0.089648224,0.089648224,Metals (27t28)
2007,USA,BGR,94.561325,99.335747,46.614594,,0.05565919,0.05565919,Vehicles (34t35)
2009,CAN,LBY,55.232674,58.021378,64.563553,,0.0,0.0,Vehicles (34t35)
2006,MEX,DNK,1.1107303,1.1821195,1.1634119,0.0011173759,0.026082978,0.0011173759,Other (36)
2008,MEX,LTU,0.35281968,0.3706336,0.037167583,,0.0016411765,0.0016411765,Vehicles (34t35)
2004,CAN,UKR,9.8210192,10.155638,11.64163,0.031342659,0.06688264,0.06688264,Machines (29t33)
2007,CAN,MKD,0.41639087,0.45625106,0.0013137501,,0.11427347,0.11427347,Minerals (26)
2008,USA,SYR,7.52456,8.1480484,0.46098566,,0.17303155,0.17303155,Wood-Paper (20t22)
2001,USA,LTU,3.1078472,3.2774811,4.0357418,,0.00057664362,0.00057664362,Metals (27t28)
2006,MEX,YEM,0.0024878865,0.0026135,0.0079795001,,0.047914706,0.047914706,Vehicles (34t35)
2001,USA,LTU,7.2811875,7.88451,4.1077132,,0.017666666,0.017666666,Wood-Paper (20t22)
2000,USA,GRC,29.095062,30.965069,23.434546,,0.028334575,0.028334575,Other (36)
2006,CAN,LCA,0.53672951,0.56009907,0.50744474,,0.11878664,0.11878664,Textiles (17t19)
2001,USA,LKA,4.346868,4.5841308,3.3758495,,0.086542904,0.086542904,Metals (27t28)
2004,CAN,GHA,8.1639996,0.0,8.1639996,,0.077564098,0.077564098,Machines (29t33)
2001,MEX,DZA,0.044139553,0.046368167,0.098388501,,0.13740957,0.13740957,Vehicles (34t35)
2002,MEX,MDA,0.0035169569,0.0037430001,0.0,,0.076037236,0.076037236,Other (36)
2008,MEX,BLR,0.40270036,0.44125,0.1065995,0.10286885,0.13981219,0.12705792,Minerals (26)
2003,USA,LVA,6.3843732,6.7688088,11.532698,,0.0063463938,0.0063463938,Chemicals (23t25)
2004,USA,TJK,10.678494,0.0,10.678494,,0.061111111,0.061111111,Wood-Paper (20t22)
2002,MEX,TON,0.0,0.0,0.0,,0.14865556,0.14865556,Textiles (17t19)
2010,MEX,GTM,33.821709,35.995506,36.212975,0.0,0.10765638,0.10765638,Other (36)
2001,USA,URY,6.6399393,7.0667033,11.540067,,0.20196171,0.20196171,Other (36)
2003,USA,CIV,25.009436,26.515385,10.634408,,0.0748825,0.0748825,Chemicals (23t25)
2001,CAN,MOZ,3.8532596,4.1725426,3.2208688,,0.13683334,0.13683334,Wood-Paper (20t22)
2006,USA,IRL,242.41086,255.64224,245.66809,,0.020293599,0.020293599,Metals (27t28)
2000,USA,ESP,95.422699,104.5573,55.94574,,0.034396339,0.034396339,Minerals (26)
2009,MEX,CZE,15.329689,16.252768,11.847316,,0.03626813,0.03626813,Chemicals (23t25)
2004,CAN,HUN,1.9815284,2.1088858,1.7073504,,0.075610109,0.075610109,Other (36)
2003,USA,UZB,0.0,0.0,,,0.063116372,0.063116372,Machines (29t33)
2002,CAN,CRI,7.2991247,7.7386427,7.1351576,0.0,0.020230897,0.020230897,Chemicals (23t25)
2009,CAN,ZWE,0.047188673,0.051705942,0.034073502,,0.21697134,0.21697134,Minerals (26)
2010,CAN,JAM,1.456951,1.5505925,1.0334647,,0.14703031,0.14703031,Other (36)
2005,USA,FRA,677.04083,733.14075,507.63004,,0.01217511,0.01217511,Wood-Paper (20t22)
2004,USA,MAR,22.396114,24.251865,15.337201,0.0040945401,0.40275878,0.40275878,Wood-Paper (20t22)
2007,CAN,ARG,96.612839,99.904602,83.686714,,0.089475892,0.089475892,Machines (29t33)
2002,MEX,CYP,0.46079624,0.4840619,0.0,,0.039508089,0.039508089,Vehicles (34t35)
2009,MEX,HRV,0.31338632,0.33049172,0.0012703334,,0.030110726,0.030110726,Metals (27t28)
2001,USA,ARE,278.90137,0.0,278.90137,,0.048440274,0.048440274,Chemicals (23t25)
2000,USA,OMN,5.4717541,5.8234367,5.5084682,0.0,0.049468085,0.049468085,Other (36)
2006,MEX,DEU,346.44907,365.3591,295.56238,0.002752909,0.020293599,0.0025976931,Metals (27t28)
2002,CAN,RUS,59.987339,62.031208,38.009438,,0.096870415,0.096870415,Machines (29t33)
2003,MEX,DNK,0.64079332,0.68197858,0.48121095,0.0011173759,0.026659044,0.0011173759,Other (36)
2003,MEX,BLR,1.006758,1.0505929,0.052536491,0.063825756,0.14508206,0.14508206,Textiles (17t19)
2006,MEX,CYP,0.056400131,0.060025103,0.027269647,,0.02723936,0.02723936,Other (36)
