Economy,Code,numeric_code,Region,Income group,North-North,North-South,South-South
Aruba,ABW,533,Latin America & Caribbean,High income,0,0,0
Afghanistan,AFG,4,South Asia,Low income,0,0,3
Angola,AGO,24,Sub-Saharan Africa,Lower middle income,0,1,8
Albania,ALB,8,Europe & Central Asia,Upper middle income,0,3,11
Andorra,AND,20,Europe & Central Asia,High income,0,1,0
United Arab Emirates,ARE,784,Middle East & North Africa,High income,0,2,17
Argentina,ARG,32,Latin America & Caribbean,Upper middle income,0,1,31
Armenia,ARM,51,Europe & Central Asia,Upper middle income,0,1,17
American Samoa,ASM,16,East Asia & Pacific,High income,0,0,0
Antigua and Barbuda,ATG,28,Latin America & Caribbean,High income,0,3,12
Australia,AUS,36,East Asia & Pacific,High income,7,18,0
Austria,AUT,40,Europe & Central Asia,High income,4,77,0
Azerbaijan,AZE,31,Europe & Central Asia,Upper middle income,0,0,12
Burundi,BDI,108,Sub-Saharan Africa,Low income,0,6,10
Belgium,BEL,56,Europe & Central Asia,High income,4,70,0
Benin,BEN,204,Sub-Saharan Africa,Lower middle income,0,7,9
Burkina Faso,BFA,854,Sub-Saharan Africa,Low income,0,7,9
Bangladesh,BGD,50,South Asia,Lower middle income,0,0,6
Bulgaria,BGR,100,Europe & Central Asia,Upper middle income,0,47,15
Bahrain,BHR,48,Middle East & North Africa,High income,0,2,8
"Bahamas, The",BHS,44,Latin America & Caribbean,High income,0,5,8
Bosnia and Herzegovina,BIH,70,Europe & Central Asia,Upper middle income,0,2,14
Belarus,BLR,112,Europe & Central Asia,Upper middle income,0,0,22
Belize,BLZ,84,Latin America & Caribbean,Upper middle income,0,3,11
Bermuda,BMU,60,North America,High income,0,0,0
Bolivia,BOL,68,Latin America & Caribbean,Lower middle income,0,0,15
Brazil,BRA,76,Latin America & Caribbean,Upper middle income,0,2,26
Barbados,BRB,52,Latin America & Caribbean,High income,0,5,10
Brunei Darussalam,BRN,96,East Asia & Pacific,High income,0,7,7
Bhutan,BTN,64,South Asia,Lower middle income,0,0,7
Botswana,BWA,72,Sub-Saharan Africa,Upper middle income,0,7,11
Central African Republic,CAF,140,Sub-Saharan Africa,Low income,0,6,8
Canada,CAN,124,North America,High income,7,15,0
Switzerland,CHE,756,Europe & Central Asia,High income,3,48,0
Channel Islands,CHI,,Europe & Central Asia,High income,0,0,0
Chile,CHL,152,Latin America & Caribbean,High income,0,10,36
China,CHN,156,East Asia & Pacific,Upper middle income,0,5,20
Côte d’Ivoire,CIV,384,Sub-Saharan Africa,Lower middle income,0,9,9
Cameroon,CMR,120,Sub-Saharan Africa,Lower middle income,0,7,9
"Congo, Dem. Rep.",COD,180,Sub-Saharan Africa,Low income,0,6,12
"Congo, Rep.",COG,178,Sub-Saharan Africa,Lower middle income,0,6,8
Colombia,COL,170,Latin America & Caribbean,Upper middle income,0,5,34
Comoros,COM,174,Sub-Saharan Africa,Lower middle income,0,5,6
Cabo Verde,CPV,132,Sub-Saharan Africa,Lower middle income,0,4,4
Costa Rica,CRI,188,Latin America & Caribbean,Upper middle income,0,4,20
Cuba,CUB,192,Latin America & Caribbean,Upper middle income,0,0,27
Curaçao,CUW,531,Latin America & Caribbean,High income,0,0,0
Cayman Islands,CYM,136,Latin America & Caribbean,High income,0,0,0
Cyprus,CYP,196,Europe & Central Asia,High income,0,46,1
Czechia,CZE,203,Europe & Central Asia,High income,0,49,9
Germany,DEU,276,Europe & Central Asia,High income,4,70,0
Djibouti,DJI,262,Middle East & North Africa,Lower middle income,0,3,6
Dominica,DMA,212,Latin America & Caribbean,Upper middle income,0,4,11
Denmark,DNK,208,Europe & Central Asia,High income,1,64,0
Dominican Republic,DOM,214,Latin America & Caribbean,Upper middle income,0,3,6
Algeria,DZA,12,Middle East & North Africa,Lower middle income,0,2,13
Ecuador,ECU,218,Latin America & Caribbean,Upper middle income,0,2,24
"Egypt, Arab Rep.",EGY,818,Middle East & North Africa,Lower middle income,0,5,30
Eritrea,ERI,232,Sub-Saharan Africa,Low income,0,0,2
Spain,ESP,724,Europe & Central Asia,High income,8,58,0
Estonia,EST,233,Europe & Central Asia,High income,0,52,14
Ethiopia,ETH,231,Sub-Saharan Africa,Low income,0,4,5
Finland,FIN,246,Europe & Central Asia,High income,4,85,0
Fiji,FJI,242,East Asia & Pacific,Upper middle income,0,7,5
France,FRA,250,Europe & Central Asia,High income,3,72,0
Faroe Islands,FRO,234,Europe & Central Asia,High income,0,10,3
"Micronesia, Fed. Sts.",FSM,583,East Asia & Pacific,Lower middle income,0,1,0
Gabon,GAB,266,Sub-Saharan Africa,Upper middle income,0,6,8
United Kingdom,GBR,826,Europe & Central Asia,High income,6,82,0
Georgia,GEO,268,Europe & Central Asia,Upper middle income,0,3,14
Ghana,GHA,288,Sub-Saharan Africa,Lower middle income,0,6,7
Gibraltar,GIB,292,Europe & Central Asia,High income,0,0,0
Guinea,GIN,324,Sub-Saharan Africa,Lower middle income,0,5,6
"Gambia, The",GMB,270,Sub-Saharan Africa,Low income,0,5,4
Guinea-Bissau,GNB,624,Sub-Saharan Africa,Low income,0,5,5
Equatorial Guinea,GNQ,226,Sub-Saharan Africa,Upper middle income,0,4,6
Greece,GRC,300,Europe & Central Asia,High income,0,58,0
Grenada,GRD,308,Latin America & Caribbean,Upper middle income,0,5,11
Greenland,GRL,304,Europe & Central Asia,High income,0,2,0
Guatemala,GTM,320,Latin America & Caribbean,Upper middle income,0,5,22
Guam,GUM,316,East Asia & Pacific,High income,0,0,0
