Code,Country,Cat,numeric_code
AFG,Afghanistan,S,4
ALB,Albania,S,8
DZA,Algeria,ES,12
ASM,American Samoa,S,16
AND,Andorra,S,20
AGO,Angola,ES,24
ATG,Antigua and Barbuda,S,28
ARG,Argentina,ES,32
ARM,Armenia,ES,51
ABW,Aruba,S,533
AUS,Australia,N,36
AUT,Austria,N,40
AZE,Azerbaijan,ES,31
BHS,"Bahamas, The",S,44
BHR,Bahrain,S,48
BGD,Bangladesh,S,50
BRB,Barbados,S,52
BLR,Belarus,S,112
BEL,Belgium,N,56
BLZ,Belize,S,84
BEN,Benin,S,204
BMU,Bermuda,S,60
BTN,Bhutan,S,64
BOL,Bolivia,ES,68
BIH,Bosnia and Herzegovina,ES,70
BWA,Botswana,S,72
BRA,Brazil,ES,76
VGB,British Virgin Islands,S,92
BRN,Brunei Darussalam,S,96
BGR,Bulgaria,ES,100
BFA,Burkina Faso,S,854
BDI,Burundi,S,108
CPV,Cabo Verde,S,132
KHM,Cambodia,S,116
CMR,Cameroon,S,120
CAN,Canada,N,124
CYM,Cayman Islands,S,136
CAF,Central African Republic,S,140
TCD,Chad,S,148
CHI,Channel Islands,S,
CHL,Chile,ES,152
CHN,China,ES,156
COL,Colombia,ES,170
COM,Comoros,S,174
COD,"Congo, Dem. Rep.",S,180
COG,"Congo, Rep.",S,178
CRI,Costa Rica,ES,188
CIV,Côte d'Ivoire,S,384
HRV,Croatia,ES,191
CUB,Cuba,S,192
CUW,Curaçao,S,531
CYP,Cyprus,ES,196
CZE,Czechia,ES,203
DNK,Denmark,N,208
DJI,Djibouti,S,262
DMA,Dominica,S,212
DOM,Dominican Republic,ES,214
ECU,Ecuador,ES,218
EGY,"Egypt, Arab Rep.",ES,818
SLV,El Salvador,S,222
GNQ,Equatorial Guinea,S,226
ERI,Eritrea,S,232
EST,Estonia,ES,233
SWZ,Eswatini,S,748
ETH,Ethiopia,S,231
FRO,Faeroe Islands,S,234
FJI,Fiji,S,242
FIN,Finland,N,246
FRA,France,N,250
PYF,French Polynesia,S,258
GAB,Gabon,S,266
GMB,"Gambia, The",S,270
GEO,Georgia,S,268
DEU,Germany,N,276
GHA,Ghana,S,288
GIB,Gibraltar,S,292
GRC,Greece,N,300
GRL,Greenland,S,304
GRD,Grenada,S,308
GUM,Guam,S,316
GTM,Guatemala,ES,320
GIN,Guinea,S,324
GNB,Guinea-Bissau,S,624
GUY,Guyana,S,328
HTI,Haiti,S,332
