year,iso3_tp_o,iso3_tp_d,trade_comb,iso3_o,iso3_d,iso3num_o,iso3num_d,dist,contig,comlang_off,gdp_o,gdp_d,fta_wto
2000,COL,HRV,1.3034581,COL,HRV,170.0,191.0,9650.0,0.0,0.0,99886579.712,21774274.56,0.0
2015,COL,UKR,0.018285297,COL,UKR,170.0,804.0,10640.0,0.0,0.0,291519594.496,91030962.176,0.0
2005,COL,VNM,0.027559271,COL,VNM,170.0,704.0,18303.0,0.0,0.0,146520129.536,57633255.424,0.0
2015,CRI,DZA,0.0055279313,CRI,DZA,188.0,12.0,9104.0,0.0,0.0,54840102.912,164779474.944,0.0
2005,COL,ZWE,0.0,COL,ZWE,170.0,716.0,11776.0,0.0,0.0,146520129.536,5755215.36,0.0
1995,PAN,IRQ,0.0,PAN,IRQ,591.0,368.0,12468.0,0.0,0.0,7906100.224,,0.0
1995,COL,RUS,0.0,COL,RUS,170.0,643.0,10915.0,0.0,0.0,92507275.264,395528503.296,0.0
1995,COL,TUN,0.0,COL,TUN,170.0,788.0,9195.0,0.0,0.0,92507275.264,18030876.672,0.0
1995,CRI,THA,0.022716144,CRI,THA,188.0,764.0,17341.0,0.0,0.0,11722356.736,168018558.976,0.0
2015,COL,CHE,62.940693,COL,CHE,170.0,756.0,9076.0,0.0,0.0,291519594.496,670789926.912,1.0
2015,COL,ARG,22.311798,COL,ARG,170.0,32.0,4642.0,0.0,1.0,291519594.496,584711471.104,0.0
2000,CRI,PER,0.06011508,CRI,PER,188.0,604.0,2552.0,0.0,1.0,15946442.752,50936238.08,0.0
2010,CRI,MNE,0.0007253153,CRI,MNE,188.0,499.0,10347.0,0.0,0.0,36298326.016,4114881.28,0.0
2010,PAN,BLZ,0.58826894,PAN,BLZ,591.0,84.0,1355.0,0.0,1.0,28814100.48,1397113.472,0.0
2010,CRI,BRA,0.023063818,CRI,BRA,188.0,76.0,5507.0,0.0,0.0,36298326.016,2143067832.32,0.0
2010,COL,IDN,0.44757599,COL,IDN,170.0,360.0,19806.0,0.0,0.0,287018188.8,709190811.648,0.0
2010,COL,USA,13.534127,COL,USA,170.0,840.0,3999.0,0.0,0.0,287018188.8,14964400062.464,0.0
2000,CRI,KGZ,0.0,CRI,KGZ,188.0,417.0,13772.0,0.0,0.0,15946442.752,1369691.904,0.0
2010,CRI,CHE,12.899999,CRI,CHE,188.0,756.0,9398.0,0.0,0.0,36298326.016,581208571.904,0.0
2015,COL,LVA,0.012409672,COL,LVA,170.0,428.0,10076.0,0.0,0.0,291519594.496,27026036.736,1.0
1995,PAN,BIH,0.0,PAN,BIH,591.0,70.0,9949.0,0.0,0.0,7906100.224,1866572.928,0.0
1995,CRI,SCG,0.0,CRI,SCG,188.0,891.0,10362.0,0.0,0.0,11722356.736,16750000.128,0.0
2015,CRI,GEO,0.0,CRI,GEO,188.0,268.0,12282.0,0.0,0.0,54840102.912,13993546.752,0.0
2015,PAN,BRN,0.0,PAN,BRN,591.0,96.0,17796.0,0.0,0.0,52132290.56,12930395.136,0.0
1995,COL,LTU,0.0,COL,LTU,170.0,440.0,10191.0,0.0,0.0,92507275.264,7904896.0,0.0
2015,COL,DEU,0.29476565,COL,DEU,170.0,276.0,9434.0,0.0,0.0,291519594.496,3363599810.56,1.0
2010,CRI,RWA,0.0010279727,CRI,RWA,188.0,646.0,12702.0,0.0,0.0,36298326.016,5698548.736,0.0
2015,COL,FIN,31.445208,COL,FIN,170.0,246.0,10062.0,0.0,0.0,291519594.496,232361689.088,1.0
1995,COL,VNM,0.0,COL,VNM,170.0,704.0,18303.0,0.0,0.0,92507275.264,20736163.84,0.0
2005,PAN,SLV,1.0980141,PAN,SLV,591.0,222.0,1176.0,0.0,1.0,15464699.904,17093799.936,1.0
2005,COL,TON,0.0,COL,TON,170.0,776.0,11354.0,0.0,0.0,146520129.536,264812.96,0.0
2015,COL,DEU,12.551324,COL,DEU,170.0,280.0,,,,291519594.496,,
2000,CRI,MOZ,0.0,CRI,MOZ,188.0,508.0,13155.0,0.0,0.0,15946442.752,4310090.752,0.0
2000,CRI,SWZ,0.0,CRI,SWZ,188.0,748.0,13008.0,0.0,0.0,15946442.752,1524490.112,0.0
2000,PAN,KGZ,0.0,PAN,KGZ,591.0,417.0,13692.0,0.0,0.0,11620500.48,1369691.904,0.0
2010,PAN,HTI,0.0,PAN,HTI,591.0,332.0,1310.0,0.0,0.0,28814100.48,6622541.312,0.0
2005,PAN,AFG,0.0,PAN,AFG,591.0,4.0,14174.0,0.0,0.0,15464699.904,6275076.096,0.0
2015,PAN,CAF,0.001275,PAN,CAF,591.0,140.0,10828.0,0.0,0.0,52132290.56,1583776.768,0.0
2005,PAN,SGP,0.00094933744,PAN,SGP,591.0,702.0,18810.0,0.0,0.0,15464699.904,127417876.48,0.0
2015,COL,AUS,1.4456782,COL,AUS,170.0,36.0,14336.0,0.0,0.0,291519594.496,1345383170.048,0.0
2005,PAN,USA,2.2585058,PAN,USA,591.0,840.0,3556.0,0.0,0.0,15464699.904,13093699584.0,0.0
1995,COL,DNK,0.0010944359,COL,DNK,170.0,208.0,9376.0,0.0,0.0,92507275.264,185006964.736,0.0
1995,COL,BDI,0.0,COL,BDI,170.0,108.0,11539.0,0.0,0.0,92507275.264,1000428.416,0.0
2015,COL,MWI,0.022448778,COL,MWI,170.0,454.0,12069.0,0.0,0.0,291519594.496,6373201.408,0.0
2005,COL,AUT,0.13556728,COL,AUT,170.0,40.0,9664.0,0.0,0.0,146520129.536,314641154.048,0.0
2015,COL,CHE,14.797088,COL,CHE,170.0,756.0,9076.0,0.0,0.0,291519594.496,670789926.912,1.0
2010,PAN,NIC,0.17016748,PAN,NIC,591.0,558.0,814.0,0.0,1.0,28814100.48,8938209.28,0.0
1995,COL,DZA,0.038645625,COL,DZA,170.0,12.0,8560.0,0.0,0.0,92507275.264,41764052.992,0.0
2005,COL,DOM,9.888649,COL,DOM,170.0,214.0,1601.0,0.0,1.0,146520129.536,33969725.44,0.0
2000,COL,SEN,0.0,COL,SEN,170.0,686.0,6299.0,0.0,0.0,99886579.712,4679604.736,0.0
2015,CRI,PNG,0.0,CRI,PNG,188.0,598.0,14416.0,0.0,0.0,54840102.912,,0.0
2005,PAN,TZA,0.064291671,PAN,TZA,591.0,834.0,13290.0,0.0,0.0,15464699.904,14141916.16,0.0
1995,PAN,BRN,0.0,PAN,BRN,591.0,96.0,17796.0,0.0,0.0,7906100.224,4734020.096,0.0
2000,CRI,URY,0.00056324352,CRI,URY,188.0,858.0,5762.0,0.0,1.0,15946442.752,22823256.064,0.0
1995,COL,ISL,0.0041149952,COL,ISL,170.0,352.0,7798.0,0.0,0.0,92507275.264,7205069.312,0.0
1995,PAN,GMB,0.0,PAN,GMB,591.0,270.0,6863.0,0.0,0.0,7906100.224,785999.872,0.0
2005,CRI,PAK,0.0071888301,CRI,PAK,188.0,586.0,15052.0,0.0,0.0,19964893.184,109502103.552,0.0
2015,CRI,ECU,2.409488,CRI,ECU,188.0,218.0,1415.0,0.0,1.0,54840102.912,100176805.888,0.0
2000,CRI,BLR,0.027851067,CRI,BLR,188.0,112.0,10494.0,0.0,0.0,15946442.752,12736856.064,0.0
2010,COL,GMB,0.0,COL,GMB,170.0,270.0,6373.0,0.0,0.0,287018188.8,951827.264,0.0
2000,CRI,KAZ,0.0,CRI,KAZ,188.0,398.0,13810.0,0.0,0.0,15946442.752,18291990.528,0.0
2010,COL,SRB,0.0,COL,SRB,170.0,688.0,10010.0,0.0,0.0,287018188.8,39368634.368,0.0
2015,PAN,MDG,0.0,PAN,MDG,591.0,450.0,14230.0,0.0,0.0,52132290.56,9738652.672,0.0
2000,COL,LBY,0.0,COL,LBY,170.0,434.0,9483.0,0.0,0.0,99886579.712,33896601.6,0.0
2010,COL,ARG,4.446991,COL,ARG,170.0,32.0,4642.0,0.0,1.0,287018188.8,462703788.032,0.0
2005,COL,VNM,0.036070358,COL,VNM,170.0,704.0,18303.0,0.0,0.0,146520129.536,57633255.424,0.0
2000,CRI,JPN,13.611248,CRI,JPN,188.0,392.0,13191.0,0.0,0.0,15946442.752,4731198504.96,0.0
2015,PAN,HKG,0.29949155,PAN,HKG,591.0,344.0,16240.0,0.0,0.0,52132290.56,309403877.376,0.0
2005,COL,ECU,395.12735,COL,ECU,170.0,218.0,990.0,1.0,1.0,146520129.536,41507086.336,1.0
2005,PAN,MHL,0.0,PAN,MHL,591.0,584.0,11972.0,0.0,0.0,15464699.904,137744.496,0.0
2010,COL,SEN,0.0,COL,SEN,170.0,686.0,6299.0,0.0,0.0,287018188.8,12932427.776,0.0
2010,CRI,LBY,0.0,CRI,LBY,188.0,434.0,10090.0,0.0,0.0,36298326.016,74755284.992,0.0
2000,COL,PHL,0.0055765961,COL,PHL,170.0,608.0,17318.0,0.0,0.0,99886579.712,81026293.76,0.0
1995,CRI,BLZ,0.024719795,CRI,BLZ,188.0,84.0,956.0,0.0,1.0,11722356.736,620031.744,0.0
2015,PAN,KEN,0.0,PAN,KEN,591.0,404.0,12935.0,0.0,0.0,52132290.56,63767539.712,0.0
2015,COL,ROU,3.8436458,COL,ROU,170.0,642.0,10459.0,0.0,0.0,291519594.496,,0.0
2000,CRI,MEX,17.704342,CRI,MEX,188.0,484.0,1931.0,0.0,1.0,15946442.752,683647959.04,1.0
1995,CRI,SUR,0.078532428,CRI,SUR,188.0,740.0,3218.0,0.0,0.0,11722356.736,693970.56,0.0
2010,CRI,POL,0.0062547978,CRI,POL,188.0,616.0,10149.0,0.0,0.0,36298326.016,476687892.48,0.0
2000,COL,MOZ,0.0,COL,MOZ,170.0,508.0,11906.0,0.0,0.0,99886579.712,4310090.752,0.0
1995,PAN,BTN,0.0,PAN,BTN,591.0,64.0,15806.0,0.0,0.0,7906100.224,303053.472,0.0
1995,COL,FJI,0.0,COL,FJI,170.0,242.0,12023.0,0.0,0.0,92507275.264,1970347.776,0.0
2005,CRI,BEN,0.00073522812,CRI,BEN,188.0,204.0,9516.0,0.0,0.0,19964893.184,4358016.0,0.0
2005,COL,CRI,40.195004,COL,CRI,170.0,188.0,1251.0,0.0,1.0,146520129.536,19964893.184,0.0
1995,CRI,VNM,0.0,CRI,VNM,188.0,704.0,,,,11722356.736,,
2010,PAN,NOR,0.59650332,PAN,NOR,591.0,578.0,9162.0,0.0,0.0,28814100.48,420945690.624,0.0
1995,CRI,HKG,3.5250578,CRI,HKG,188.0,344.0,15929.0,0.0,0.0,11722356.736,144652910.592,0.0
2015,PAN,DEU,0.045250379,PAN,DEU,591.0,280.0,,,,52132290.56,,
2000,CRI,UKR,0.010842169,CRI,UKR,188.0,804.0,10838.0,0.0,0.0,15946442.752,31261528.064,0.0
2015,PAN,CHE,0.38025677,PAN,CHE,591.0,756.0,9132.0,0.0,0.0,52132290.56,670789926.912,1.0
2005,PAN,CPV,0.0,PAN,CPV,591.0,132.0,6121.0,0.0,0.0,15464699.904,971976.96,0.0
2015,CRI,BGR,0.00020037167,CRI,BGR,188.0,100.0,10655.0,0.0,0.0,54840102.912,50199117.824,1.0
2015,COL,AUS,20.311754,COL,AUS,170.0,36.0,14336.0,0.0,0.0,291519594.496,1345383170.048,0.0
2005,PAN,SWE,0.19571514,PAN,SWE,591.0,752.0,9580.0,0.0,0.0,15464699.904,389042896.896,0.0
2010,CRI,ZAF,0.025178853,CRI,ZAF,188.0,710.0,12700.0,0.0,0.0,36298326.016,365208436.736,0.0
2015,PAN,GMB,0.0,PAN,GMB,591.0,270.0,6863.0,0.0,0.0,52132290.56,938794.688,0.0
2005,PAN,TJK,0.0,PAN,TJK,591.0,762.0,13808.0,0.0,0.0,15464699.904,2312319.488,0.0
2005,COL,COG,0.0,COL,COG,170.0,178.0,9986.0,0.0,0.0,146520129.536,6087002.624,0.0
2005,CRI,SWE,0.017379403,CRI,SWE,188.0,752.0,9743.0,0.0,0.0,19964893.184,389042896.896,0.0
2005,CRI,NLD,1.4551847,CRI,NLD,188.0,528.0,9072.0,0.0,0.0,19964893.184,672357351.424,0.0
2010,PAN,VEN,102.60303,PAN,VEN,591.0,862.0,1397.0,0.0,1.0,28814100.48,393801564.16,0.0
2015,PAN,ESP,0.95515591,PAN,ESP,591.0,724.0,8168.0,0.0,1.0,52132290.56,1192955478.016,1.0
1995,PAN,MYS,0.070530288,PAN,MYS,591.0,458.0,18655.0,0.0,0.0,7906100.224,88832450.56,0.0
1995,COL,JOR,0.0,COL,JOR,170.0,400.0,11610.0,0.0,0.0,92507275.264,6727446.528,0.0
1995,CRI,CUB,0.0099776005,CRI,CUB,188.0,192.0,1471.0,0.0,1.0,11722356.736,30428639.232,0.0
2015,PAN,SGP,0.020573759,PAN,SGP,591.0,702.0,18810.0,0.0,0.0,52132290.56,296840691.712,1.0
2000,PAN,CMR,0.0,PAN,CMR,591.0,120.0,9863.0,0.0,0.0,11620500.48,9287367.68,0.0
2000,CRI,SLV,18.5432,CRI,SLV,188.0,222.0,695.0,0.0,1.0,15946442.752,13134100.48,1.0
2015,CRI,PAN,10.252921,CRI,PAN,188.0,591.0,511.0,1.0,1.0,54840102.912,52132290.56,1.0
2000,CRI,KGZ,0.0,CRI,KGZ,188.0,417.0,13772.0,0.0,0.0,15946442.752,1369691.904,0.0
2015,PAN,SLV,1.1017591,PAN,SLV,591.0,222.0,1176.0,0.0,1.0,52132290.56,26052339.712,1.0
1995,PAN,CAF,0.0,PAN,CAF,591.0,140.0,10828.0,0.0,0.0,7906100.224,1115389.696,0.0
2010,CRI,JPN,0.89515305,CRI,JPN,188.0,392.0,13191.0,0.0,0.0,36298326.016,5495387062.272,0.0
2015,CRI,USA,61.34626,CRI,USA,188.0,840.0,3553.0,0.0,0.0,54840102.912,18036648050.688,1.0
2005,COL,TUR,3.2044899,COL,TUR,170.0,792.0,10763.0,0.0,0.0,146520129.536,482979840.0,0.0
2015,PAN,HND,2.1564281,PAN,HND,591.0,340.0,1010.0,0.0,1.0,52132290.56,20844308.48,1.0
1995,CRI,BHR,0.0,CRI,BHR,188.0,48.0,13696.0,0.0,0.0,11722356.736,5849467.904,0.0
2010,CRI,SLE,0.0,CRI,SLE,188.0,694.0,7773.0,0.0,0.0,36298326.016,2578159.616,0.0
2000,CRI,MUS,0.0,CRI,MUS,188.0,480.0,15761.0,0.0,0.0,15946442.752,4582562.304,0.0
2015,COL,SRB,0.0082226619,COL,SRB,170.0,688.0,10010.0,0.0,0.0,291519594.496,37160333.312,0.0
1995,COL,CMR,0.002193063,COL,CMR,170.0,120.0,9295.0,0.0,0.0,92507275.264,8733230.08,0.0
2015,CRI,COL,2.1513588,CRI,COL,188.0,170.0,1251.0,0.0,1.0,54840102.912,291519594.496,0.0
2005,PAN,ROU,0.0,PAN,ROU,591.0,642.0,10532.0,0.0,0.0,15464699.904,99172614.144,0.0
2015,PAN,CYP,0.00018500563,PAN,CYP,591.0,196.0,11460.0,0.0,0.0,52132290.56,19559942.144,1.0
2005,COL,EGY,0.0034102499,COL,EGY,170.0,818.0,11222.0,0.0,0.0,146520129.536,89685721.088,0.0
1995,COL,TKM,0.0,COL,TKM,170.0,795.0,13219.0,0.0,0.0,92507275.264,2482228.48,0.0
2015,CRI,AUT,0.027164618,CRI,AUT,188.0,40.0,9957.0,0.0,0.0,54840102.912,376967397.376,1.0
2000,CRI,CHE,0.002359604,CRI,CHE,188.0,756.0,9398.0,0.0,0.0,15946442.752,271659728.896,0.0
2000,PAN,SOM,0.0,PAN,SOM,591.0,706.0,13799.0,0.0,0.0,11620500.48,,0.0
2005,COL,AZE,0.00077297253,COL,AZE,170.0,31.0,12449.0,0.0,0.0,146520129.536,13245421.568,0.0
2005,COL,RUS,0.038806166,COL,RUS,170.0,643.0,10915.0,0.0,0.0,146520129.536,764000927.744,0.0
1995,COL,GHA,0.028127888,COL,GHA,170.0,288.0,8188.0,0.0,0.0,92507275.264,6464389.632,0.0
2010,CRI,CIV,0.00161225,CRI,CIV,188.0,384.0,8829.0,0.0,0.0,36298326.016,24884504.576,0.0
2005,CRI,TUN,0.00023337304,CRI,TUN,188.0,788.0,9732.0,0.0,0.0,19964893.184,32282959.872,0.0
2015,COL,PER,41.912834,COL,PER,170.0,604.0,1870.0,1.0,1.0,291519594.496,189212098.56,1.0
2010,CRI,GMB,0.0,CRI,GMB,188.0,270.0,7337.0,0.0,0.0,36298326.016,951827.264,0.0
2000,COL,NER,5.637655e-05,COL,NER,170.0,562.0,8406.0,0.0,0.0,99886579.712,1798374.528,0.0
2000,CRI,KAZ,0.0,CRI,KAZ,188.0,398.0,13810.0,0.0,0.0,15946442.752,18291990.528,0.0
1995,PAN,BRA,34.735512,PAN,BRA,591.0,76.0,5076.0,0.0,0.0,7906100.224,768951320.576,0.0
1995,COL,SVN,0.010473524,COL,SVN,170.0,705.0,9535.0,0.0,0.0,92507275.264,21274122.24,0.0
2015,PAN,MOZ,0.0,PAN,MOZ,591.0,508.0,12643.0,0.0,0.0,52132290.56,14798399.488,0.0
2005,COL,EST,0.00080090004,COL,EST,170.0,233.0,10066.0,0.0,0.0,146520129.536,14003096.576,0.0
2005,CRI,PAK,0.027024759,CRI,PAK,188.0,586.0,15052.0,0.0,0.0,19964893.184,109502103.552,0.0
1995,COL,MAR,0.044,COL,MAR,170.0,504.0,7555.0,0.0,0.0,92507275.264,37183959.04,0.0
2010,PAN,LKA,0.0,PAN,LKA,591.0,144.0,17136.0,0.0,0.0,28814100.48,49567522.816,0.0
2010,COL,HKG,4.3187323,COL,HKG,170.0,344.0,16899.0,0.0,0.0,287018188.8,228637704.192,0.0
2005,COL,BRA,0.48595253,COL,BRA,170.0,76.0,4311.0,1.0,0.0,146520129.536,882185732.096,0.0
1995,COL,CAN,0.44157457,COL,CAN,170.0,124.0,4362.0,0.0,0.0,92507275.264,602021298.176,0.0
1995,COL,SEN,0.0041628005,COL,SEN,170.0,686.0,6299.0,0.0,0.0,92507275.264,4878718.976,0.0
1995,COL,CAN,49.348797,COL,CAN,170.0,124.0,4362.0,0.0,0.0,92507275.264,602021298.176,0.0
2005,COL,UZB,0.0,COL,UZB,170.0,860.0,13713.0,0.0,0.0,146520129.536,14307510.272,0.0
1995,COL,DNK,0.013149543,COL,DNK,170.0,208.0,9376.0,0.0,0.0,92507275.264,185006964.736,0.0
1995,COL,MDA,0.0,COL,MDA,170.0,498.0,10611.0,0.0,0.0,92507275.264,1752995.328,0.0
2010,CRI,QAT,0.040640764,CRI,QAT,188.0,634.0,13832.0,0.0,0.0,36298326.016,125122248.704,0.0
2005,COL,TJK,0.0,COL,TJK,170.0,762.0,13896.0,0.0,0.0,146520129.536,2312319.488,0.0
1995,COL,SGP,0.27257222,COL,SGP,170.0,702.0,19316.0,0.0,0.0,92507275.264,87891558.4,0.0
2010,PAN,CRI,14.94802,PAN,CRI,591.0,188.0,511.0,1.0,1.0,28814100.48,36298326.016,1.0
2010,PAN,BGD,0.065257564,PAN,BGD,591.0,50.0,16226.0,0.0,0.0,28814100.48,115279077.376,0.0
2015,PAN,GHA,0.0093243811,PAN,GHA,591.0,288.0,8579.0,0.0,0.0,52132290.56,37543362.56,0.0
2010,COL,NZL,0.18313134,COL,NZL,170.0,554.0,12197.0,0.0,0.0,287018188.8,143466741.76,0.0
2005,CRI,ETH,0.00612,CRI,ETH,188.0,230.0,,,,19964893.184,,
2000,PAN,GEO,0.0,PAN,GEO,591.0,268.0,12044.0,0.0,0.0,11620500.48,3057453.568,0.0
1995,PAN,URY,0.071329884,PAN,URY,591.0,858.0,5439.0,0.0,1.0,7906100.224,19297662.976,0.0
2000,PAN,PNG,0.0,PAN,PNG,591.0,598.0,14908.0,0.0,0.0,11620500.48,3521348.096,0.0
1995,PAN,MUS,0.061429229,PAN,MUS,591.0,480.0,15255.0,0.0,0.0,7906100.224,4040342.016,0.0
1995,COL,MHL,0.0,COL,MHL,170.0,584.0,12650.0,0.0,0.0,92507275.264,120230.0,0.0
2010,CRI,UGA,0.0,CRI,UGA,188.0,800.0,12932.0,0.0,0.0,36298326.016,16030996.48,0.0
2005,COL,QAT,0.0021182022,COL,QAT,170.0,634.0,13288.0,0.0,0.0,146520129.536,44530491.392,0.0
2000,COL,SWE,0.25278214,COL,SWE,170.0,752.0,9690.0,0.0,0.0,99886579.712,259802005.504,0.0
2000,COL,MDG,0.0023682446,COL,MDG,170.0,450.0,13507.0,0.0,0.0,99886579.712,3877673.728,0.0
1995,PAN,BEL,0.016415028,PAN,BEL,591.0,56.0,8809.0,0.0,0.0,7906100.224,289122615.296,0.0
2005,COL,PAN,33.245255,COL,PAN,170.0,591.0,772.0,1.0,1.0,146520129.536,15464699.904,0.0
1995,CRI,FRA,33.287483,CRI,FRA,188.0,250.0,8925.0,0.0,0.0,11722356.736,1609892233.216,0.0
2010,CRI,IRQ,0.0,CRI,IRQ,188.0,368.0,12765.0,0.0,0.0,36298326.016,138516725.76,0.0
2010,PAN,BLZ,0.42612851,PAN,BLZ,591.0,84.0,1355.0,0.0,1.0,28814100.48,1397113.472,0.0
2000,CRI,PAN,19.16979,CRI,PAN,188.0,591.0,511.0,1.0,1.0,15946442.752,11620500.48,0.0
2010,COL,ARM,0.0066365777,COL,ARM,170.0,51.0,12045.0,0.0,0.0,287018188.8,9260286.976,0.0
1995,CRI,ETH,0.025025001,CRI,ETH,188.0,230.0,,,,11722356.736,,
2005,PAN,ESP,0.062218297,PAN,ESP,591.0,724.0,8168.0,0.0,1.0,15464699.904,1157247664.128,0.0
2005,COL,NOR,0.45368439,COL,NOR,170.0,578.0,9276.0,0.0,0.0,146520129.536,304060071.936,0.0
2015,COL,TON,0.0,COL,TON,170.0,776.0,11354.0,0.0,0.0,291519594.496,435430.336,0.0
1995,COL,SLE,0.01196325,COL,SLE,170.0,694.0,6738.0,0.0,0.0,92507275.264,870758.72,0.0
2015,COL,KEN,0.03696226,COL,KEN,170.0,404.0,12349.0,0.0,0.0,291519594.496,63767539.712,0.0
1995,PAN,HRV,0.0019860361,PAN,HRV,591.0,191.0,9722.0,0.0,0.0,7906100.224,22387562.496,0.0
2010,PAN,EST,0.0,PAN,EST,591.0,233.0,9945.0,0.0,0.0,28814100.48,19479013.376,0.0
2005,CRI,SVK,30.35528,CRI,SVK,188.0,703.0,10011.0,0.0,0.0,19964893.184,62676557.824,0.0
2005,COL,CHL,6.9250283,COL,CHL,170.0,152.0,4229.0,0.0,1.0,146520129.536,124404146.176,0.0
2005,COL,FRA,4.0111313,COL,FRA,170.0,250.0,8632.0,0.0,0.0,146520129.536,2203623882.752,0.0
2015,PAN,PER,0.17744657,PAN,PER,591.0,604.0,2343.0,0.0,1.0,52132290.56,189212098.56,1.0
2005,PAN,PRT,0.004246261,PAN,PRT,591.0,620.0,7690.0,0.0,0.0,15464699.904,197299601.408,0.0
2010,CRI,NPL,0.0,CRI,NPL,188.0,524.0,15689.0,0.0,0.0,36298326.016,15994094.592,0.0
1995,PAN,GBR,0.025007106,PAN,GBR,591.0,826.0,8497.0,0.0,0.0,7906100.224,1235567247.36,0.0
