year,iso3_tp,cnum,iso3num
1966,AFG,4,4
1967,AFG,4,4
1968,AFG,4,4
1969,AFG,4,4
1970,AFG,4,4
1971,AFG,4,4
1972,AFG,4,4
1973,AFG,4,4
1974,AFG,4,4
1975,AFG,4,4
1976,AFG,4,4
1977,AFG,4,4
1978,AFG,4,4
1979,AFG,4,4
1980,AFG,4,4
1981,AFG,4,4
1982,AFG,4,4
1983,AFG,4,4
1984,AFG,4,4
1985,AFG,4,4
1986,AFG,4,4
1987,AFG,4,4
1988,AFG,4,4
1989,AFG,4,4
1990,AFG,4,4
1991,AFG,4,4
1992,AFG,4,4
1993,AFG,4,4
1994,AFG,4,4
1995,AFG,4,4
1996,AFG,4,4
1997,AFG,4,4
1998,AFG,4,4
1999,AFG,4,4
2000,AFG,4,4
2001,AFG,4,4
2002,AFG,4,4
2003,AFG,4,4
2004,AFG,4,4
2005,AFG,4,4
2006,AFG,4,4
2007,AFG,4,4
2008,AFG,4,4
2009,AFG,4,4
2010,AFG,4,4
2011,AFG,4,4
2012,AFG,4,4
2013,AFG,4,4
2014,AFG,4,4
2015,AFG,4,4
2016,AFG,4,4
2017,AFG,4,4
2018,AFG,4,4
2019,AFG,4,4
2020,AFG,4,4
1966,AGO,24,24
1967,AGO,24,24
1968,AGO,24,24
1969,AGO,24,24
1970,AGO,24,24
1971,AGO,24,24
1972,AGO,24,24
1973,AGO,24,24
1974,AGO,24,24
1975,AGO,24,24
1976,AGO,24,24
1977,AGO,24,24
1978,AGO,24,24
1979,AGO,24,24
1980,AGO,24,24
1981,AGO,24,24
1982,AGO,24,24
1983,AGO,24,24
1984,AGO,24,24
1985,AGO,24,24
1986,AGO,24,24
1987,AGO,24,24
1988,AGO,24,24
1989,AGO,24,24
1990,AGO,24,24
1991,AGO,24,24
1992,AGO,24,24
1993,AGO,24,24
1994,AGO,24,24
1995,AGO,24,24
1996,AGO,24,24
1997,AGO,24,24
1998,AGO,24,24
1999,AGO,24,24
2000,AGO,24,24
2001,AGO,24,24
2002,AGO,24,24
2003,AGO,24,24
2004,AGO,24,24
2005,AGO,24,24
2006,AGO,24,24
2007,AGO,24,24
2008,AGO,24,24
2009,AGO,24,24
2010,AGO,24,24
2011,AGO,24,24
2012,AGO,24,24
2013,AGO,24,24
2014,AGO,24,24
2015,AGO,24,24
2016,AGO,24,24
2017,AGO,24,24
2018,AGO,24,24
2019,AGO,24,24
2020,AGO,24,24
1966,ALB,8,8
1967,ALB,8,8
1968,ALB,8,8
1969,ALB,8,8
1970,ALB,8,8
1971,ALB,8,8
1972,ALB,8,8
1973,ALB,8,8
1974,ALB,8,8
1975,ALB,8,8
1976,ALB,8,8
1977,ALB,8,8
1978,ALB,8,8
1979,ALB,8,8
1980,ALB,8,8
1981,ALB,8,8
1982,ALB,8,8
1983,ALB,8,8
