Agreement Name,Countries
Agadir Agreement,"Egypt, Jordan, Morocco, Tunisia"
Turkey Albania,"Albania, Turkey"
EC Algeria,"Algeria, Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom"
nan,
ASEAN Australia New Zealand,"Australia, Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar (Burma), New Zealand, Philippines, Singapore, Thailand, Vietnam"
Australia Chile,"Australia, Chile"
Singapore Australia,"Australia, Singapore"
Thailand Australia,"Australia, Thailand"
US Australia,"Australia, United States"
US Bahrain,"Bahrain, United States"
Russian Federation  Belarus  Kazakhstan,"Belarus, Kazakhstan, Russia"
Turkey Bosnia and Herzegovina,"Bosnia & Herzegovina, Turkey"
Bulgaria Israel,"Bulgaria, Israel"
EFTA Canada,"Canada, Iceland, Liechtenstein, Norway, Switzerland"
EC CARIFORUM States EPA,"Antigua & Barbuda, Austria, Bahamas, Barbados, Belgium, Belize, Bulgaria, Cyprus, Czechia, Denmark, Dominica, Dominican Republic, Estonia, Finland, France, Germany, Greece, Grenada, Guyana, Haiti, Hungary, Ireland, Italy, Jamaica, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, St. Kitts & Nevis, St. Lucia, St. Vincent & Grenadines, Suriname, Sweden, Trinidad & Tobago, United Kingdom"
Chile China,"Chile, China"
EC Chile,"Austria, Belgium, Chile, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom"
EFTA Chile,"Chile, Iceland, Liechtenstein, Norway, Switzerland"
Chile India,"Chile, India"
Chile Japan,"Chile, Japan"
"Korea, Republic of Chile","Chile, South Korea"
China New Zealand,"China, New Zealand"
Peru China,"China, Peru"
Common Economic Zone (CEZ),"Belarus, Kazakhstan, Russia, Ukraine"
EC C?te d'Ivoire,"Austria, Belgium, Bulgaria, Cyprus, Czechia, Côte d’Ivoire, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, Netherlands, Poland, Portugal, Romania, Slovakia, Slovenia, Spain, Sweden, United Kingdom"
Turkey Croatia,"Croatia, Turkey"
EC Egypt,"Austria, Belgium, Denmark, Egypt, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom"
EU Lebanon,"Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Lebanon, Luxembourg, Netherlands, Portugal, Spain, Sweden, United Kingdom"
EC Mexico,"Austria, Belgium, Denmark, Finland, France, Germany, Greece, Ireland, Italy, Luxembourg, Mexico, Netherlands, Portugal, Spain, Sweden, United Kingdom"
EFTA Egypt,"Egypt, Iceland, Liechtenstein, Norway, Switzerland"
EFTA Jordan,"Iceland, Jordan, Liechtenstein, Norway, Switzerland"
