Region,Var,PTA_ID,Estimate,SE,z,P,Significance
Americas,NSPTA + Lag Sum,163,0.346115,0.097799,3.539043,0.000402,3
Americas,NSPTA + Lag Sum,168,0.410094,0.113392,3.616606,0.000298,3
Americas,NSPTA + Lag Sum,188,-0.81081,0.139538,-5.81068,6.22E-09,3
Americas,NSPTA + Lag Sum,218,0.879259,0.172495,5.097305,3.45E-07,3
Americas,NSPTA + Lag Sum,645,0.116669,0.140765,0.828818,0.407207,0
Intercontinental,NSPTA + Lag Sum,17,0.800455533,0.249235822,3.211639188,0.0013198,3
Intercontinental,NSPTA + Lag Sum,75,1.365675862,0.492394969,2.7735374,0.005545047,3
Intercontinental,NSPTA + Lag Sum,96,0.271133963,0.054741529,4.952984881,7.30837E-07,3
Intercontinental,NSPTA + Lag Sum,152,0.109787114,0.26572565,0.413159642,0.679489655,0
Intercontinental,NSPTA + Lag Sum,181,0.242447421,0.179187675,1.353036256,0.176044048,0
Intercontinental,NSPTA + Lag Sum,202,0.659527693,0.124146131,5.312511066,1.08125E-07,3
Intercontinental,NSPTA + Lag Sum,205,0.002026786,0.177668795,0.011407666,0.990898197,0
Intercontinental,NSPTA + Lag Sum,207,0.516216895,0.113172557,4.561325703,5.08317E-06,3
Intercontinental,NSPTA + Lag Sum,252,0.165223754,0.362742894,0.455484469,0.648760738,0
Intercontinental,NSPTA + Lag Sum,304,0.786763866,0.123065529,6.393048276,1.62611E-10,3
Intercontinental,NSPTA + Lag Sum,323,-0.335271087,0.145989877,-2.296536541,0.021645222,2
Intercontinental,NSPTA + Lag Sum,330,0.285702958,0.088384546,3.232498996,0.001227126,3
Intercontinental,NSPTA + Lag Sum,376,0.171428816,0.228471608,0.750328752,0.45305673,0
Intercontinental,NSPTA + Lag Sum,383,-0.201539855,0.151765419,-1.327969552,0.184188166,0
Intercontinental,NSPTA + Lag Sum,384,0.645323276,0.355462487,1.815446919,0.069455256,1
Intercontinental,NSPTA + Lag Sum,386,-0.092036769,0.168225027,-0.547105097,0.584306531,0
Intercontinental,NSPTA + Lag Sum,390,0.046900773,0.180923383,0.259230024,0.795457767,0
Intercontinental,NSPTA + Lag Sum,396,0.018319904,0.379298357,0.048299455,0.961477589,0
Intercontinental,NSPTA + Lag Sum,399,-0.472619863,0.126530867,-3.735213984,0.000187556,3
Intercontinental,NSPTA + Lag Sum,401,0.406732786,0.288342436,1.41058941,0.158365716,0
Intercontinental,NSPTA + Lag Sum,508,0.139808611,0.122203694,1.144062063,0.252597899,0
Intercontinental,NSPTA + Lag Sum,509,0.209676223,0.215923444,0.971067425,0.331514704,0
Intercontinental,NSPTA + Lag Sum,512,-0.457594735,0.265721045,-1.722086917,0.085053775,1
Intercontinental,NSPTA + Lag Sum,518,0.627264086,0.134610266,4.659853256,3.16435E-06,3
Intercontinental,NSPTA + Lag Sum,543,1.089829332,0.707299188,1.540832156,0.123357641,0
Intercontinental,NSPTA + Lag Sum,628,0.483767368,0.141835408,3.410765873,0.000647807,3
Intercontinental,NSPTA + Lag Sum,637,0.667166217,0.102112217,6.533657171,6.41828E-11,3
Intercontinental,NSPTA + Lag Sum,658,-0.302857933,0.348978487,-0.867841268,0.385481235,0
Intercontinental,NSPTA + Lag Sum,679,0.546262132,0.309623967,1.764275996,0.077685523,1
Intercontinental,NSPTA + Lag Sum,979,-0.130150971,0.298468306,-0.436062952,0.662791056,0
Europe,NSPTA + Lag Sum,8,0.663185,0.164824,4.02359,0.0000573,3
Europe,NSPTA + Lag Sum,9,0.58061,0.285355,2.034697,0.041881,2
Europe,NSPTA + Lag Sum,254,0.568447,0.085962,6.61275,3.77E-11,3
Europe,NSPTA + Lag Sum,255,0.170557,0.234919,0.726026,0.467823,0
Europe,NSPTA + Lag Sum,328,0.737953,0.178867,4.1257,0.000037,3
Europe,NSPTA + Lag Sum,331,0.241139,0.215909,1.11685,0.264058,0
Europe,NSPTA + Lag Sum,335,0.727474,0.046986,15.48266,4.54E-54,3
Europe,NSPTA + Lag Sum,389,0.411091,0.332719,1.235548,0.216626,0
Europe,NSPTA + Lag Sum,394,0.746962,0.19962,3.74193,0.000183,3
Asia,NSPTA + Lag Sum,71,-0.137607152,0.091285993,-1.507428989,0.131700733,0
Asia,NSPTA + Lag Sum,598,0.165999673,0.082873316,2.003053347,0.045171563,2
