Country,Year,Unique Products Exported,Total Value of Exports (PrimaryValue),Total Net Weight of Exports (NetWgt),Total Value of Exports (PrimaryValue) / Unique Products Exported
Honduras,2000,1449,5434781904.0,2400821496.0,3750712.149068323
Honduras,2001,1607,4594245312.0,3079621517.0,2858895.65152458
Honduras,2002,1815,3861706472.0,3486860046.0,2127661.968044077
Honduras,2003,1706,3967887472.0,3591419445.0,2325842.5978898006
Honduras,2004,1810,4777660244.0,3983482237.0,2639591.2950276244
Honduras,2005,1849,5177699544.0,4384933921.0,2800270.169821525
Honduras,2006,2104,7518642944.0,4756546312.0,3573499.498098859
Honduras,2007,2123,9565757516.0,5181952164.0,4505773.67687235
Honduras,2009,2176,10381301548.0,5363686022.0,4770818.726102941
Honduras,2010,2047,12414731796.0,6500878212.0,6064842.1084513925
Honduras,2011,2013,14134244124.0,7424463140.0,7021482.426229509
Honduras,2012,2228,18784694620.0,9565704388.0,8431191.481149012
Honduras,2014,2348,18133390564.0,11296207455.0,7722909.098807496
Honduras,2015,2170,16805893524.0,9317753926.0,7744651.393548387
Honduras,2016,2210,16338567664.0,9146921582.0,7393017.042533937
Honduras,2017,2334,19880577583.92,9416603991.29,8517813.87485861
Honduras,2018,2312,17946520728.68,9915307611.941,7762335.9553114185
Honduras,2019,2061,12364652396.92,8710701124.849,5999346.141154779
Honduras,2020,2280,18665185745.72,11856606773.384,8186484.976192983
Honduras,2021,2197,19903795952.56,8876954258.522001,9059533.888284024
Guatemala,2000,3011,10796135732.0,11346554278.0,3585564.8395881765
Guatemala,2001,3174,9646710152.0,11167000871.0,3039291.163201008
Guatemala,2002,3337,9846264264.0,12212917302.0,2950633.5822595144
Guatemala,2003,3407,10538081824.0,11598626427.0,3093067.7499266216
Guatemala,2004,3496,11713417676.0,12647139717.0,3350519.9302059496
Guatemala,2005,3526,21523262408.0,14193881666.0,6104158.368689734
Guatemala,2006,3454,12792335432.0,11876634743.0,3703629.2507237983
Guatemala,2007,3491,27594159416.0,16734558502.0,7904371.0730449725
Guatemala,2008,3512,30946786284.0,16147995269.0,8811727.301822323
Guatemala,2009,3492,28834343920.0,16245643678.0,8257257.709049256
Guatemala,2010,3453,33840610780.0,16510638375.0,9800350.645815233
Guatemala,2011,3473,40644164072.0,16553142852.0,11702897.803627986
Guatemala,2012,3471,40497548448.0,19051744268.0,11667400.878133103
Guatemala,2013,3471,40261314396.0,21357509492.0,11599341.51426102
Guatemala,2014,3489,43562762956.0,26600224471.0,12485744.613356262
Guatemala,2015,3440,42709577848.0,28181524714.0,12415574.955813954
Guatemala,2016,3448,42365318392.0,28517399798.0,12286925.287703017
Guatemala,2017,3487,44045565588.0,28600984752.173,12631363.804989962
Guatemala,2018,3591,43453935744.0,23105315626.588,12100789.680868838
Guatemala,2019,3582,45156704496.0,26009572330.748,12606561.835845897
Guatemala,2020,3569,46633876176.0,27287282067.636,13066370.461193612
Guatemala,2021,3660,54942396780.0,29757735117.491,15011583.819672132
Guatemala,2022,3710,63224608704.0,28157865707.27,17041673.505121294
Costa Rica,2000,2601,21947513592.0,9248020142.0,8438105.956170704
Costa Rica,2001,2631,18863158308.0,9438829511.0,7169577.464082098
Costa Rica,2002,2567,19801600964.0,9543232205.0,7713907.660303856
Costa Rica,2003,2699,23201614236.0,10421880140.0,8596374.300111152
Costa Rica,2004,2761,23810328464.0,10944820557.0,8623806.035494385
Costa Rica,2005,2806,28602753229.0,12008318155.0,10193425.954739843
Costa Rica,2006,2824,29019462460.0,12485293745.0,10276013.61898017
Costa Rica,2007,2744,35710474692.0,13843308757.0,13014021.389212828
Costa Rica,2008,2894,38978153980.0,13958553033.0,13468608.838977193
Costa Rica,2009,2932,35345378716.0,9896413034.0,12055040.489768077
Costa Rica,2010,3075,36179362710.0,14548952386.0,11765646.409756098
Costa Rica,2011,3159,40888964244.0,15810477905.0,12943641.735992402
Costa Rica,2012,3223,45003215726.0,15467525744.0,13963144.81104561
Costa Rica,2013,3211,45888254228.0,15804456118.0,14290954.290875116
Costa Rica,2014,3163,44970644588.0,17208714581.0,14217718.807461271
Costa Rica,2015,3161,38313351539.0,15455611304.0,12120642.688706106
Costa Rica,2016,3107,39631495621.0,16905551081.0,12755550.570003219
Costa Rica,2017,3076,45186561715.072,17795815295.670998,14690039.56926918
Costa Rica,2018,3089,45007125792.76,18135867065.049,14570128.12973778
Costa Rica,2019,3238,45807972307.48,17456527310.447,14146995.771303274
Costa Rica,2020,3136,46491020613.68001,17099101447.505,14824942.797729595
Costa Rica,2021,3190,57381582260.880005,17825002067.891003,17987956.821592476
Costa Rica,2022,3206,61278780277.868,15689828214.004,19113780.49839925
Belize,2000,452,800860373.0,534089210.0,1771814.9845132744
Belize,2001,132,727555953.0,849290020.0,5511787.5227272725
Belize,2002,119,657938823.0,619494318.0,5528897.672268908
Belize,2003,344,806609380.0,1294852254.0,2344794.7093023257
Belize,2004,554,863057884.0,1486281215.868,1557866.2166064982
Belize,2005,423,830542690.0,1327681565.122,1963457.8959810876
Belize,2006,416,1097717404.0,822942832.0,2638743.7596153845
Belize,2007,401,1066534528.0,795042297.0,2659687.1022443892
Belize,2008,160,1180231394.0,1813487656.0,7376446.2125
Belize,2009,375,1046382741.441,1259781376.095,2790353.977176
Belize,2010,478,1220373057.512,2019971297.78,2553081.7102761506
Belize,2011,611,1517425173.2800002,1288935329.854,2483510.9218985275
Belize,2012,537,1604558486.0,1775464357.0,2988004.6294227187
Belize,2013,508,1653815601.0,1797611806.0,3255542.521653543
Belize,2014,828,1433716113.0,1401121458.0,1731541.1992753623
Belize,2015,695,1255580755.0,1396200638.0,1806591.0143884893
Belize,2016,802,984650532.0,1357307367.0,1227743.8054862842
Belize,2017,818,1110339840.26,1532201609.11,1357383.667799511
Belize,2018,824,963644632.4,1756665411.2799995,1169471.641262136
Belize,2019,810,979635344.833,1984045917.594,1209426.351645679
Belize,2020,507,847490729.26,1608862836.82,1671579.34765286
Belize,2021,696,1056370702.44,1988048226.62,1517773.997758621
Belize,2022,616,1145721596.686,818540049.0170001,1859937.6569577924
Nicaragua,2000,1126,2517404605.0,1354856556.0,2235705.688277087
Nicaragua,2001,1507,2128958457.0,1445705610.0,1412712.9774386198
Nicaragua,2002,1513,2234818868.0,1588914130.0,1477077.9035029742
Nicaragua,2003,1660,2420814550.0,1605508054.0,1458322.0180722892
Nicaragua,2004,1622,3039386760.0,1856227552.0,1873851.2700369915
Nicaragua,2005,1616,3464091240.0,2262405424.0,2143620.8168316833
Nicaragua,2006,1656,3034567600.0,1657368550.0,1832468.3574879228
Nicaragua,2007,1891,4778164249.0,2554310723.0,2526792.305129561
Nicaragua,2008,2036,10150400183.0,2526410949.0,4985461.779469548
Nicaragua,2009,2005,5572215362.0,2732193410.0,2779159.7815461345
Nicaragua,2010,2040,7390516095.0,2888394801.0,3622802.007352941
Nicaragua,2011,2018,9123487935.0,2916658566.0,4521054.477205154
Nicaragua,2012,442,18202588044.0,3693686110.0,41182325.891402714
Nicaragua,2013,434,18376593973.0,3833583976.0,42342382.42626728
Nicaragua,2014,2171,19894005945.0,4311181911.0,9163521.85398434
Nicaragua,2015,2066,18669462657.0,3995719970.0,9036525.971442401
Nicaragua,2016,2111,18367847195.72,3753796169.65,8701017.146243487
Nicaragua,2017,2169,19702324710.64,4238536800.236,9083598.299050253
Nicaragua,2018,2307,20055630278.52,4622784909.808001,8693381.13503251
Nicaragua,2019,2272,21090212485.32,4862637185.02,9282663.94600352
Nicaragua,2020,2085,20349350879.48,4771957409.258,9759880.517736211
Nicaragua,2021,2117,25979939467.68,5134691862.443999,12272054.543070383
Nicaragua,2022,2206,29439315203.8,5287364730.329,13345111.153127832
Mexico,2000,4508,665177358120.0,303614224155.0,147554870.9228039
Mexico,2001,4525,633544867704.0,315393939848.0,140009915.51469612
Mexico,2002,4505,643002160684.0,318435737702.0,142730779.28612652
Mexico,2003,4463,659626035344.0,374627125230.0,147798797.9708716
Mexico,2004,4432,751921769964.0,9914283642722.0,169657439.07129964
Mexico,2005,4718,856829222440.0,336098128543.0,181608567.70665535
Mexico,2006,4693,999842182116.0,375898454624.0,213049687.2184104
Mexico,2007,4663,1087284861696.0,329142228255.0,233172820.4366288
Mexico,2008,4553,1165059235240.0,318671565890.0,255888257.245772
Mexico,2009,4529,918849349220.0,258063289232.0,202881287.08765733
Mexico,2010,4535,1193220300544.0,332480831147.0,263113627.46284455
Mexico,2011,4518,1397306326868.0,315443547336.0,309275415.4200974
Mexico,2012,4634,1482826633436.0,319825798665.0,319988483.69356924
Mexico,2013,4639,1519797092544.0,383100730559.0,327613083.1092908
Mexico,2014,3327,1587561892904.0,299048989639.38403,477175200.75263
Mexico,2015,3301,1522224354728.0,204971856440.61105,461140367.98788244
Mexico,2016,3282,1495814455360.0,123464332107.051,455763088.1657526
Mexico,2017,3271,1637585091960.0,227406054181.077,500637447.86303884
Mexico,2018,3258,1802734586500.0,231939180720.038,553325532.9957029
Mexico,2019,3254,1842414783232.0,222415828166.81705,566199994.8469576
Mexico,2020,3227,1667928681944.0,213826107004.508,516866650.7418655
Mexico,2021,2956,1977843060020.0,435469183737.52,669094404.6075778
Mexico,2022,2990,2310922853664.0,395787979754.152,772883897.5464883
Panama,2000,522,3116301724.0,2395398108.0,5969926.674329502
Panama,2001,490,3236181836.0,2582558484.0,6604452.726530612
Panama,2002,521,3038452544.0,2200249990.0,5831962.656429943
Panama,2003,478,3219958704.0,1862525182.0,6736315.280334728
Panama,2004,478,3564420568.0,2115778220.0,7456946.79497908
Panama,2005,471,3852862432.0,2366054814.0,8180175.014861995
Panama,2006,3026,32135704829.0,4707036556.0,10619862.798744217
Panama,2007,2999,35282380904.0,5102135540.0,11764715.206402134
Panama,2008,2894,39266482044.0,5042942688.0,13568238.439530062
Panama,2009,2867,42866747868.0,3530959670.0,14951778.119288456
Panama,2010,3163,43946410820.0,3851112314.0,13893901.618716408
Panama,2011,3331,63582460156.0,3081824029.8300004,19088099.71660162
Panama,2012,3358,67062533244.0,3527117303.365,19970974.759976175
Panama,2013,3446,62302275300.0,3488860532.199,18079592.367962856
Panama,2014,3489,55108687780.0,3563466984.972,15794980.733734595
Panama,2015,3239,48173508416.0,3062653257.3510003,14872957.213954924
Panama,2016,3077,43372842052.0,3050159553.538,14095821.271368217
Panama,2017,3147,44366227968.0,3453412646.436,14097943.428026693
Panama,2018,3148,45920430464.0,3434290196.3949995,14587176.132147396
Panama,2019,3170,41912238104.0,2676427394.921,13221526.21577287
Panama,2020,3088,34635195660.0,2815044490.525,11216060.770725388
Panama,2021,406,15127690604.0,5941869678.190001,37260321.68472906
Panama,2022,431,14608614272.0,5792161166.0,33894696.68677494
El Salvador,2000,2098,15918981601.240002,2191903268.714,7587693.804213538
El Salvador,2001,2135,17745833239.08,2169679994.542,8311865.685751758
El Salvador,2002,2204,18881151280.92,3067782276.1980004,8566765.553956442
El Salvador,2003,2265,19797556321.56,2836492581.4160004,8740642.96757616
El Salvador,2004,2341,21007599004.2,3148272303.632,8973771.466979923
El Salvador,2005,2400,13745903137.320002,3088661710.742,5727459.640550001
El Salvador,2006,2425,14919971793.96,3857480819.108,6152565.688230927
El Salvador,2007,2501,16058154580.28,4306824637.596,6420693.5546901245
El Salvador,2008,2525,18564281973.120003,5109185369.452,7352190.880443566
El Salvador,2009,2533,15464320393.319998,3747225393.624,6105140.305298065
El Salvador,2010,2576,17996973008.8,3963048287.141,6986402.56552795
El Salvador,2011,2563,21232716288.280003,4394533690.491,8284321.610721812
El Salvador,2012,2643,21356353573.24,4618551207.267,8080345.657676883
El Salvador,2013,2742,22077200336.480003,5579936059.827,8051495.381648433
El Salvador,2014,2721,21206184033.04,5241922201.379,7793525.921734657
El Salvador,2015,2729,22036190760.28,5510530897.196,8074822.557816049
El Salvador,2016,2740,21680531589.12,5603605869.535,7912602.769751824
El Salvador,2017,2800,23040060829.16,6349821707.694,8228593.153271428
El Salvador,2018,2799,23621644843.72,6059587881.841,8439315.771246875
El Salvador,2019,2717,23619825694.04,6354729138.063,8693347.697475158
El Salvador,2020,2554,19221798018.72,5664938096.221,7526154.275144871
El Salvador,2021,2630,25579555663.64,6483019674.178,9726066.792258555
El Salvador,2022,2730,28460420974.72,6654131283.945001,10425062.628102565
